Nursery Name,Area / Address,Curriculum,Annual Tuition Fee (AED)
Masterminds Nursery and Kindergarten,"Villa No. 17, Rumiah Street, Umm Suqeim 3",American,"54,075"
Children's Oasis Nursery,Umm Suqeim,UK EYFS,"44,775"
Handprint Early Childhood Center,"Citywalk Street 71B, Villa 13",French,"43,000"
Toddler Town British Nursery,Downtown and Dubai Marina,UK EYFS,"40,000"
Kids Palace Nursery,"Street 13 off Al Wasl Rd, Umm Suqeim","French, British","40,000"
Honey Bee Nursery,City Walk 2,"UK EYFS, British","39,749"
The House of Learning Early Childhood Center,"Emaar 52 42, King Salman Bin Abdulaziz Al Saud St",UK EYFS,"39,000"
Victory Heights Nursery,"Plot 6854451, MEAISEM First, Dubai Production City",British,"37,200"
Willow Children's Nursery,"Sanbook Street, Umm Suqeim 2","UK EYFS, Reggio Emilia","36,100"
"Step By Step Nursery, Dubailand","Villa H 48 & H 50 Layan Community, Al Qudra Road",UK EYFS,"36,000"
"Step By Step Nursery, Mirdif","Villa N57+N58, Shorooq Mirdif",UK EYFS,"36,000"
Little Champions Nursery Dubai,Dubai,UK EYFS,"35,950"
Art Village Nursery,"16th street, villa 71, Jumeirah 2",Reggio Emilia,"35,000"
Green Grass Nursery Al Manara,Al Manara,"UK EYFS, Special Needs, Reggio Emilia, British, Arabic","35,000"
Jebel Ali Village Early Childhood Centre,"Al Bahar tower 1, Plaza level, JBR",UK EYFS,"33,750"
Numu Nursery,"Zahra Breeze, Nshama, Townsquare","UK EYFS, Reggio Emilia, Montessori, British","33,379"
Smart Start Kindergarten,Al Barsha South / Arjan,American,"33,300"
"Rainbow Valley Nursery, JLT","Arch Tower, Cluster G, Jumeirah Lake Towers",UK EYFS,"33,050"
Burj Daycare Nursery,Arabian Ranches 2,"UK EYFS, Montessori, Arabic","33,000"
Kids Spot Nursery,"Villa 9, Street 12A, Al Wasl, Jumeirah",UK EYFS,"32,125"
British Orchard Nursery,"Al Twar 2, Bur Dubai","UK EYFS, British","32,000"
"Future International Nursery, Dubai",Al Warqaa,IEYC,"30,220"
Yellow Kite Nursery,"Villa 49, St 8a (end of St 21), Safa 2",UK EYFS,"30,000"
Rays of Light For Early Learning,"Um Saqeim 2, Al Aliya St, Villa No. 36","Arabic, American","30,000"
White Dove Nursery,"Villa 96, Al Wuheida Road","UK EYFS, Reggio Emilia","29,500"
"Odyssey Nursery, Dubai","Burj Al Arab, Umm Suqeim 2, JBR, Meydan, Living Legends and SZR","Reggio Emilia, French, American","28,800"
Dubai Gem Nursery,"Villa 7, Street 3A, Al Hudaiba","UK EYFS, Indian, British","27,799"
Kiddy Planet Early Learning Centre,"26th St, Umm Suqeim 3","UK EYFS, British","27,000"
Green Grass Nursery Jumeirah,"Villa No 134, 89th Street, Al Urouba Rd, Jumeirah 1","UK EYFS, Special Needs, Reggio Emilia, British, Arabic","27,000"
Kids Kare Nursery,"Al Sheera Tower, JLT","UK EYFS, British","26,500"
Great Minds Early Childhood Center,"Street 29, Villa 11, City Walk/Box Park Area",Montessori,"25,830"
"Super Kids Nursery, Dubai","Villa 99 Street 23c, Mirdif",UK EYFS,"25,500"
Pristine Rainbow Nursery - Oud Metha,"Al Ibriz Building, Oud Metha",UK EYFS,"25,000"
Sandcastle Nursery,"Jumeirah 1, Al Wasl Rd St 79",British,"23,850"
Mothercare Nursery Dubai,Satwa - Jumeirah,"Islamic, Indian, British, American","17,500"
The Little Dreamers Nursery,"Villa #44 Al Tawaash Street, Jumeirah 3",UK EYFS,"13,808"
Kid's Island Nursery,"Villa 101, Al Zoubaidi St, Jumeirah 3","Reggio Emilia, Montessori, British","13,330"
Orange Seeds Nursery,"Dubai Digital Park, Silicon Oasis",British,"11,900"
Alphabet Street Nursery,"Al Manara, Road 8A, Villa 11",UK EYFS,"9,185"
Angel Heart Nursery,"R05, Retail Floor, Windsor Manor, Business Bay","British, Arabic",Not listed by source
Children's Kingdom Nursery,Jumeirah,Arabic,Not listed by source
Deira Montessori Nursery,"Al Twar 2, St #6, Building #16","Islamic, Arabic",Not listed by source
French Children's Nursery Dubai,Jumeirah 1,French,Not listed by source
Jumeirah International Nurseries (JINS) – Downtown,"Al Abraj Street, South Ridge Towers, Downtown",British,Not listed by source
Learning Ladder Nursery JLT,"Lake Level Cluster V, JLT","UK EYFS, British",Not listed by source
Little Land Nursery,"Villa 11 Al Dassi St, Umm Suqeim 2",Montessori,Not listed by source
Little Nest Nursery,"Villa No. 1, 2A Street, behind Eppco gas station, Al Jafiliya","UK EYFS, Special Needs, Indian",Not listed by source
Maple Bear Early Learning Center,"Burlington Tower, opposite Anantara Hotel",Canadian,Not listed by source
Roots Montessori Nursery - Jumeirah Village,"Autumn 2, Seasons Community, R-01, Jumeirah Village Circle","Reggio Emilia, Montessori",Not listed by source
