School Name,Curriculum,Annual Tuition Fee (AED)
Dubai College,"GCSE, British",103860
Royal Grammar School Guildford Dubai,"UK EYFS, GCSE, British",99236
Jumeirah College,"GCSE, British",88814
"GEMS World Academy, Dubai",IB,82857
Kings School Al Barsha,British,81936
Brighton College Dubai,"IGCSE, GCSE, British",80928
Kent College Dubai,British,76000
"Repton School, Dubai","IB, British",73932
Dubai British School Jumeirah Park,"GCSE, British",73588
Hartland International School,"UK EYFS, IGCSE, GCSE, British",70792
"GEMS Wellington Academy, Al Khail","British, Arabic",70743
"GEMS Wellington Academy, Al Khail (Arabic)","British, Arabic",70743
"Australian International School, Dubai",Australian,68500
"GEMS Wellington Academy, Silicon Oasis","IB, British",66837
Dubai British School Emirates Hills,"IB, GCSE, British",66284
Jebel Ali School,"GCSE, British",65910
"Emirates International School, Jumeirah",IB,60254
Kings School Dubai,British,59490
GEMS FirstPoint School,British,58964
"Emirates International School, Meadows",IB,57483
GEMS Royal Dubai School,"Special Needs, British",57161
GEMS Royal Dubai School (Special Needs),"Special Needs, British",57161
German International School Dubai,German,55994
Horizon International School,"IGCSE, GCSE, British",55978
Horizon International School (GCSE),"IGCSE, GCSE, British",55978
Kings School Nad Al Sheba,British,55920
GEMS Al Barsha National School,"UK EYFS, IGCSE, GCSE, British",54953
Ambassador International Academy,IB,54258
Horizon English School Dubai,"UK EYFS, British",51337
The Aquila School,British,44400
GEMS Metropole School,British,43763
Smart Vision School,British,43629
GEMS Al Khaleej International School,American,42043
GEMS Al Khaleej International School (American),American,42043
GEMS Founders School - Dubai South,British,42000
Glendale International School,"NCfE, British",39840
Al Salam Community School,"IGCSE, GCSE, British",32449
GEMS Founders School,"NCfE, British",30937
GEMS Founders School Al Mizhar,British,30647
GEMS New Millennium School Al Khail,"IGCSE, CBSE",26040
Cedar School,"NCfE, IGCSE, GCSE, British",25965
PACE Springfield International School,"UK EYFS, GCSE, British",24000
Springdales School Dubai,CBSE,23747
Pace Modern British School,"UK EYFS, GCSE, British",22050
Pristine Private School,British,21530
Credence High School Dubai,"Indian, CBSE",21000
The Apple International Community School,"UK EYFS, NCfE, British",17200
Dubai Carmel School,"UK EYFS, Special Needs, IGCSE, British",15886
Adab Iranian Private School,"Islamic, IB, Arabic",14079
The Philippine School Dubai,Filipino,11369
United International Private School,"MOE, Filipino",9567
English Language School Dubai,"IGCSE, GCSE, British",8208
Grammar School Dubai,"GCSE, British",6080
Al Ittihad Private School Al Mamzar,American,Not listed by source
Al Ittihad Private School Jumeirah,American,Not listed by source
Al Maaref Private School,American,Not listed by source
Al Mawakeb School Al Barsha,American,Not listed by source
Al Sadiq Islamic English School,IGCSE,Not listed by source
Al Salam Private School,IGCSE,Not listed by source
American Academy for Girls,American,Not listed by source
American School of Creative Science Nad Al Sheba,American,Not listed by source
American School of Dubai,American,Not listed by source
Amity School Dubai,CBSE,Not listed by source
Arab Unity School,IGCSE,Not listed by source
Bilingual French International School,French,Not listed by source
Bright Learners Private School,American,Not listed by source
Bright Riders School,CBSE,Not listed by source
Buds Public School,CBSE,Not listed by source
Central School Dubai,CBSE,Not listed by source
Clarion School,American,Not listed by source
Collegiate International School,American,Not listed by source
Crescent English High School,CBSE,Not listed by source
Delhi Private School Dubai,CBSE,Not listed by source
Dubai British School Jumeira,IGCSE,Not listed by source
Dubai International School Al Garhoud,American,Not listed by source
Dubai Scholars Private School,IGCSE,Not listed by source
Dunecrest American School,American,Not listed by source
GEMS Dubai American Academy,American,Not listed by source
GEMS Legacy School,CBSE,Not listed by source
GEMS Metropole School - Al Waha,British,Not listed by source
GEMS Our Own English High School,CBSE,Not listed by source
GEMS Our Own High School Al Warqa'a,CBSE,Not listed by source
GEMS Our Own Indian School,CBSE,Not listed by source
Global Indian International School Dubai,CBSE,Not listed by source
Gulf Indian High School,CBSE,Not listed by source
Gulf Model School,CBSE,Not listed by source
His Highness Shaikh Rashid Al Maktoum Pakistan School Dubai,Pakistani,Not listed by source
Ignite School,American,Not listed by source
Indian High School Al Garhoud,CBSE,Not listed by source
International Academic School Dubai,American,Not listed by source
JSS Private School,CBSE,Not listed by source
Lycee Francais International Dubai,French,Not listed by source
Lycee Francais International Georges Pompidou,French,Not listed by source
Lycee Francais International Georges Pompidou Oud-Metha,French,Not listed by source
Lycee Francais Jean Mermoz de Dubai,French,Not listed by source
MSB Private School,IGCSE,Not listed by source
Manzil Center,Special Needs,Not listed by source
Mirdif American School,American,Not listed by source
New Academy School,American,Not listed by source
New Dawn Private School,IGCSE,Not listed by source
New Indian Model School,CBSE,Not listed by source
New World Private School,IGCSE,Not listed by source
Next Generation School,American,Not listed by source
Nibras International School,American,Not listed by source
Oxford School Dubai,IGCSE,Not listed by source
Pakistan Education Academy,Pakistani,Not listed by source
Primus Private School,CBSE,Not listed by source
Raffles International School South Campus,IGCSE,Not listed by source
Rashid Paediatric Therapy Centre,Special Needs,Not listed by source
Rashid School for Boys,"MOE, GCSE",Not listed by source
Repton Al Barsha,British,Not listed by source
Sabari Indian School,CBSE,Not listed by source
School of Modern Skills,American,Not listed by source
South View School,British,Not listed by source
St. Mary's Catholic High School Muhaisnah,IGCSE,Not listed by source
Star International School Mirdif,British,Not listed by source
The Arbor School,British,Not listed by source
The Elite English School,CBSE,Not listed by source
The English College Dubai,British,Not listed by source
The Indian Academy Dubai,CBSE,Not listed by source
The Indian High School,CBSE,Not listed by source
The International School of Choueifat DIP,SABIS,Not listed by source
The International School of Choueifat Dubai,SABIS,Not listed by source
The Millennium School Dubai,CBSE,Not listed by source
The School of Research Science,American,Not listed by source
The Sheffield Private School,IGCSE,Not listed by source
The Westminster School Dubai,IGCSE,Not listed by source
Universal American School,American,Not listed by source
VIS Vernus International School,American,Not listed by source
iCademy Middle East,American,Not listed by source
