id,name,emirate,curriculum,language_of_instruction,year_founded,government_rating,parent_reviews_count,annual_fees_aed,location_address,contact,website_listing_url,photo_url
1,Credence High School Dubai,Dubai,"Indian, CBSE",Hindi/English,2014,Very Good (KHDA),43,21000,Al Quoz 4,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/113918/credence-high-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
2,Springdales School Dubai,Dubai,CBSE,Hindi/English,2013,Good (KHDA),38,23747,"Al Quoz 4, Near Jumeira University",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/74343/springdales-school-dubai/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
3,Pristine Private School,Dubai,British,English,1992,Good (KHDA),36,21530,Al Nahda 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114309/pristine-private-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
4,Kent College Dubai,Dubai,British,English,2016,Very Good (KHDA),34,76000,"Al Abjar Street, Exit 15, Nad Al Sheba 2, Meydan South",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/134757/kent-college-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
5,"Emirates International School, Jumeirah",Dubai,IB,English,1991,Very Good (KHDA),33,60254,"Al Thanya Street, Jumeirah",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/573/emirates-international-school-jumeirah/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
6,Kings School Nad Al Sheba,Dubai,British,English,2014,Very Good (KHDA),33,55920,Nad Al Sheba 3,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/114297/kings-school-nad-al-sheba-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
7,"GEMS Wellington Academy, Silicon Oasis",Dubai,"IB, British",English,2011,Very Good (KHDA),29,66837,Silicon Oasis,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/21614/gems-wellington-academy-silicon-oasis/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
8,Ambassador International Academy,Dubai,IB,English,2019,Good (KHDA),27,54258,"Al Khail, Plot No. 3653942",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/ambassador-international-academy-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
9,GEMS Metropole School,Dubai,British,English,2014,Good (KHDA),25,43763,"Motor City, Honsho Road",Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/134755/gems-metropole-school-motor-city-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
10,Smart Vision School,Dubai,British,English,2016,Good (KHDA),25,43629,42 27th Street - Al Barsha 2,Not published in directory listing (use website/listing link to inquire),https://www.edarabia.com/134769/smart-vision-school-dubai-uae/,Not embedded — see Notes; use website_listing_url to view school photos on Edarabia
