address,addressar,areaar,areaen,bgcolorcode,curriculumar,curriculumen,educationcenterid,educationcenter_typeid,email,establishedon,fax,hepqualityassurancear,hepqualityassuranceen,imagelargeurl,imagemedsmallurl,imagesmallurl,imagethumburl,inspectionreportpdflinken,inspectionyear,lat,long,mobile,name_ar,name_eng,overallperformancear,overallperformanceen,pobox,studentcount,telephone,web_address,load_timestamp
319-147,319-147,دبي لاند,Dubai Land,#24a5e5,بريطاني,UK,688,1,enquiries_wsd@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/688L.jpg,https://www.khda.gov.ae/SchoolImage/688MS.jpg,https://www.khda.gov.ae/SchoolImage/688S.jpg,https://www.khda.gov.ae/SchoolImage/688T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111301,2023-2024,25.08,55.33,,مدرسة جيمس وينشستر,GEMS Winchester School,جيد,Good,113272,,97145952555,www.gemswinchesterschool-dubai.com,01:09.0
Dubai Heights Academy,,البرشاء الثانية,AL BARSHA SECOND,#f9db01,بريطاني - بريطاني/بكالوريا دولية - بكالوريا دولية (13 سنة),UK - UK/IB - International Baccalaureate (1,152197,1,arabicsecretary@dubaiheightsac,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152197L.jpg,https://www.khda.gov.ae/SchoolImage/152197MS.jpg,https://www.khda.gov.ae/SchoolImage/152197S.jpg,https://www.khda.gov.ae/SchoolImage/152197T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114037,2023-2024,25.08,55.23,,دبي هيتس اكاديمي,Dubai Heights Academy,لم تخضع للتقييم نظراً لجائحة كوفيد 19,Not inspected due to COVID 19,,,43563333,www.dubaiheightsacademy.com,01:09.0
671-1427,671-1427,البرشاء الأولى,AL BARSHA FIRST,#f9db01,بكالوريا دولية,International Baccalaureate,369,1,principal_gwa@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/369L.jpg,https://www.khda.gov.ae/SchoolImage/369MS.jpg,https://www.khda.gov.ae/SchoolImage/369S.jpg,https://www.khda.gov.ae/SchoolImage/369T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=110809,2023-2024,25.08,55.22,,أكاديمية جيمس العالمية,GEMS WORLD ACADEMY,جيد جدا,Very good,126260,,97143736373,www.gemsworldacademy-dubai.com,01:09.0
Arcadia Global school,,الفرجان,Al Furjan,#24a5e5,بريطاني,UK,503416,1,ahlam.ismail@arcadia.sch.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/503416L.jpg,https://www.khda.gov.ae/SchoolImage/503416MS.jpg,https://www.khda.gov.ae/SchoolImage/503416S.jpg,https://www.khda.gov.ae/SchoolImage/503416T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=115987,2025-2026,0,0,,مدرسة أركاديا جلوبال,Arcadia Global School,جيد,Good,,,56679058,www.arcadiaglobal.sch.ae,01:09.0
214-226, 226-214,الورقاء الرابعة,AL WARQA FOURTH,#24a5e5,أمريكي - بكالوريا دولية,American - International Baccalaureate,29,1,ghadeer.a_akn@gemsedu.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/29L.jpg,https://www.khda.gov.ae/SchoolImage/29MS.jpg,https://www.khda.gov.ae/SchoolImage/29S.jpg,https://www.khda.gov.ae/SchoolImage/29T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111170,2023-2024,25.19,55.43,,مدرسة جيمس الخليج الدولية - فرع دبي,GEMS Al Khaleej International School - Dubai Branch,جيد,Good,26780,,97142173900,www.gemsakns.net,01:09.0
"3530181, Safa 1",3530181,الصفا الأولى,AL SAFA FIRST,#f9db01,بريطاني,UK,120,1,principal@safabritishschool.co,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/120L.jpg,https://www.khda.gov.ae/SchoolImage/120MS.jpg,https://www.khda.gov.ae/SchoolImage/120S.jpg,https://www.khda.gov.ae/SchoolImage/120T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=111031,2023-2024,25.18,55.24,,مدرسة الصفا البريطانية,Safa British School,جيد جدا,Very good,71091,,97143884300,www.safabritishschool.com,01:09.0
South View School L.L.C,,دبي لاند,Dubai Land,#24a5e5,بريطاني,UK,152519,1,operations@southview.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152519L.jpg,https://www.khda.gov.ae/SchoolImage/152519MS.jpg,https://www.khda.gov.ae/SchoolImage/152519S.jpg,https://www.khda.gov.ae/SchoolImage/152519T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113205,2023-2024,25,55.24,,مدرسة ساوث فيو ذ.م.م,South View School L.L.C,جيد,Good,,,97145897904,southviewschool.com/,01:09.0
Bright Learners Private School Plot 2160572,,الراشدية,AL RASHIDIYA,#c2c5cb,أمريكي,American,500607,1,arabic.secretary@brightlearner,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/500607L.jpg,https://www.khda.gov.ae/SchoolImage/500607MS.jpg,https://www.khda.gov.ae/SchoolImage/500607S.jpg,https://www.khda.gov.ae/SchoolImage/500607T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113196,2023-2024,25.22,55.4,,مدرسة برايت ليرنرز الخاصة ش.ذ.م.م,Bright Learners Private School L.L.C,مقبول,Acceptable,,,97143353203,56A Street - Al Rashidiya - Dubai,01:09.0
"North London Collegiate School Dubai, Plot 301",,الميدان,Meydan City,#f9db01,بكالوريا دولية,International Baccalaureate,152520,1,principal@nlcsdubai.ae,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/152520L.jpg,https://www.khda.gov.ae/SchoolImage/152520MS.jpg,https://www.khda.gov.ae/SchoolImage/152520S.jpg,https://www.khda.gov.ae/SchoolImage/152520T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=114119,2023-2024,25.18,55.31,,نورث لندن كوليجيات سكول ميدل إيست ش.ذ.م.م - منطقة حرة,North London Collegiate School Middle East L.L.C - FZ,جيد جدا,Very good,,,97143190888,www.nlcsdubai.ae,01:09.0
Dubai Sports City,مدينة دبي الرياضية,مدينة دبي الرياضية,Dubai Sports City,#10b078,بريطاني,UK,1423,1,info@vhprimary.com,00:00.0,,,,https://www.khda.gov.ae/SchoolImage/1423L.jpg,https://www.khda.gov.ae/SchoolImage/1423MS.jpg,https://www.khda.gov.ae/SchoolImage/1423S.jpg,https://www.khda.gov.ae/SchoolImage/1423T.jpg,http://www.khda.gov.ae/DISB/AttachmentDownload.aspx?DOC_ID=113410,2023-2024,25.04,55.22,,مدرسة فيكتوري هايتس الابتدائية ش.ذ.م.م,Victory Heights Primary School L.L.C,متميز,Outstanding,454959,,97144231100,vhprimary.com,01:09.0
